type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.24.1-1, , ,0,0, , , , , , , , , , 
TRACK,1.24.1-1,-16.44714223708916,-71.60025413309125,-16.4471422370892,-71.6002541330913,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44736802467085,-71.60048608363019,-16.4473680246708,-71.6004860836302,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4474309919734,-71.60038486156546,-16.4474309919734,-71.6003848615654,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4477569567679,-71.60046168038384,-16.4477569567679,-71.6004616803838,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4479140113765,-71.5999824726203,-16.4479140113765,-71.5999824726203,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44726798413077,-71.59952388238133,-16.4472679841308,-71.5995238823813,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44740251315015,-71.59917309987658,-16.4474025131501,-71.5991730998766,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44764999335442,-71.59843866256658,-16.4476499933544,-71.5984386625666,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44771781900718,-71.59821829088233,-16.4477178190072,-71.5982182908823,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44773851300185,-71.59807905400045,-16.4477385130018,-71.5980790540004,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44761986910042,-71.59806502192156,-16.4476198691004,-71.5980650219215,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44753095750316,-71.59838952639718,-16.4475309575032,-71.5983895263972,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44749227812374,-71.59857066764489,-16.4474922781237,-71.5985706676449,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44732721591036,-71.59910019180826,-16.4473272159104,-71.5991001918082,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44718887478817,-71.59949349775518,-16.4471888747882,-71.5994934977552,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44701701500431,-71.59975422281416,-16.4470170150043,-71.5997542228141,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4468772267652,-71.59998193508007,-16.4468772267652,-71.5999819350801,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44666207327078,-71.60026244326609,-16.4466620732708,-71.6002624432661,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44665810208326,-71.60041182882351,-16.4466581020833,-71.6004118288235,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44672826439467,-71.60064060841778,-16.4467282643947,-71.6006406084178,False, , ,0, , , , , , 
TRACK,1.24.1-2, , ,0,0, , , , , , , , , , 
TRACK,1.24.1-2,-16.44675059711452,-71.60011465541955,-16.4467505971145,-71.6001146554195,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44694731525772,-71.5997679832055,-16.4469473152577,-71.5997679832055,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44709791711642,-71.59954087575125,-16.4470979171164,-71.5995408757512,False, , ,0, , , , , , 
