1.24.2.129,"-16.4434421958501 -71.5985349450654"
1.24.2.130,"-16.4433116238354 -71.5985754054850"
1.24.2.174,"-16.4430429992192 -71.5988425752294"
1.24.2.175,"-16.4429513712663 -71.5988534932612"
1.24.3.39,"-16.4415341690168 -71.6008632232857"
1.24.3.40,"-16.4414827023527 -71.6010903524793"
1.24.3.47,"-16.4418129050831 -71.6013947103740"
1.24.3.50,"-16.4414552228069 -71.6013756951028"
1.24.3.54,"-16.4418474735309 -71.6015585742406"
1.24.3.55,"-16.4419275077231 -71.6015471521684"
1.24.3.56,"-16.4420342798707 -71.6015476108007"
1.24.3.79,"-16.4426796025750 -71.6035352058395"
1.24.3.98,"-16.4420483672091 -71.6037846040630"
1.24.3.112,"-16.4407185259463 -71.6041771880131"
1.24.3.125,"-16.4410376113602 -71.6034801820002"
1.24.3.132,"-16.4416205897027 -71.6031359486573"
1.24.3.143,"-16.4415587593030 -71.6019962897241"
1.24.3.174,"-16.4410862634427 -71.6014012721119"
1.24.3.152,"-16.4410996724216 -71.6011606048390"
1.24.3.153,"-16.4411085222556 -71.6009704850450"
1.24.3.158,"-16.4411288517872 -71.6006571466571"
1.24.3.163,"-16.4418647247185 -71.6000330851779"
1.24.7.106,"-16.4395316520674 -71.5907832789803"
1.24.7.109,"-16.4394622946993 -71.5906336266975"
1.24.7.119,"-16.4408637492727 -71.5903890737824"
1.24.7.120,"-16.4409306524411 -71.5903213465611"
