1.24.1.1,"-16.4467816664597 -71.6003432157699",1.24.1-1
1.24.1.2,"-16.4468311026170 -71.6001554030410",1.24.1-1
1.24.1.4,"-16.4469300583901 -71.5999638990220",1.24.1-1
1.24.1.5,"-16.4471153142861 -71.5996914231997",1.24.1-1
1.24.1.6,"-16.4471776361352 -71.5995916943760",1.24.1-1
1.24.1.8,"-16.4473307526124 -71.5991334077893",1.24.1-1
1.24.1.9,"-16.4475437569994 -71.5985234700993",1.24.1-1
1.24.1.12,"-16.4475562438018 -71.5983957987295",1.24.1-1
1.24.1.13,"-16.4475686845533 -71.5983071477442",1.24.1-1
1.24.1.7,"-16.4470866155069 -71.5993209246678",1.24.1-2
1.24.1.10,"-16.4473192055550 -71.5987006610231",1.24.1-2
1.24.1.11,"-16.4473714409827 -71.5984793180432",1.24.1-2
1.24.1.14,"-16.4473983400212 -71.5983663198382",1.24.1-2
1.24.1.15,"-16.4474431065198 -71.5980932101835",1.24.1-2
1.24.1.16,"-16.4470387298586 -71.5980958773837",1.24.1-2
1.24.1.17,"-16.4466698261724 -71.5981020232860",1.24.1-2
1.24.1.18,"-16.4465219344847 -71.5980863467096",1.24.1-2
1.24.1.19,"-16.4464720956193 -71.5982077947625",1.24.1-2
1.24.1.20,"-16.4464110167804 -71.5983075223902",1.24.1-2
1.24.1.21,"-16.4462913401411 -71.5984072495502",1.24.1-2
1.24.1.22,"-16.4461982763191 -71.5984707001944",1.24.1-2
1.24.1.23,"-16.4460582619509 -71.5985587598141",1.24.1-2
1.24.1.24,"-16.4463631695794 -71.5990838175123",1.24.1-2
1.24.1.25,"-16.4459251785359 -71.5983074240868",1.24.1-3
1.24.1.26,"-16.4460462537369 -71.5982676638169",1.24.1-3
1.24.1.27,"-16.4462348538638 -71.5981500747663",1.24.1-3
1.24.1.28,"-16.4461079884470 -71.5981231973696",1.24.1-3
1.24.1.29,"-16.4458188792519 -71.5980358425481",1.24.1-3
1.24.1.30,"-16.4459332029671 -71.5980236236105",1.24.1-3
1.24.1.31,"-16.4462966387780 -71.5980415636807",1.24.1-3
1.24.1.32,"-16.4463303661335 -71.5979534784937",1.24.1-3
1.24.1.33,"-16.4463322020896 -71.5977191973153",1.24.1-3
1.24.1.34,"-16.4461522383014 -71.5977244455287",1.24.1-3
1.24.1.35,"-16.4459851176924 -71.5976580773046",1.24.1-3
1.24.1.36,"-16.4460106582563 -71.5975339935613",1.24.1-3
1.24.1.37,"-16.4461328618587 -71.5975637637036",1.24.1-3
1.24.1.38,"-16.4463183263261 -71.5976160696977",1.24.1-3
1.24.1.39,"-16.4463254040273 -71.5975683253467",1.24.1-3
1.24.1.40,"-16.4463349492976 -71.5974914355889",1.24.1-3
1.24.1.41,"-16.4463340406327 -71.5974310225837",1.24.1-3
1.24.1.42,"-16.4463445039114 -71.5973636992753",1.24.1-3
1.24.1.43,"-16.4463514763703 -71.5973119412980",1.24.1-3
