type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.1.1-2,-16.38969311777078,-71.52692142332803,-16.3896931177708,-71.526921423328,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.38978945789484,-71.52708304157912,-16.3897894578948,-71.5270830415791,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39002626163993,-71.52738373697451,-16.3900262616399,-71.5273837369745,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39029651046328,-71.52777704955773,-16.3902965104633,-71.5277770495577,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39060721911937,-71.52818708470879,-16.3906072191194,-71.5281870847088,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39085298759036,-71.52801875329219,-16.3908529875904,-71.5280187532922,False, , ,0, , , , , , 
TRACK,1.1.1-3, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-3,-16.38991676319703,-71.52616223056157,-16.389916763197,-71.5261622305616,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38985944926394,-71.52552113062912,-16.3898594492639,-71.5255211306291,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38983903052817,-71.52469190137732,-16.3898390305282,-71.5246919013773,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38966048663141,-71.52436611761463,-16.3896604866314,-71.5243661176146,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38901416917022,-71.5235722234201,-16.3890141691702,-71.5235722234201,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38883879284142,-71.52372493127605,-16.3888387928414,-71.523724931276,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38961959779571,-71.52475073380255,-16.3896195977957,-71.5247507338025,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38954301126803,-71.5250450728484,-16.389543011268,-71.5250450728484,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38954647927949,-71.5252634968772,-16.3895464792795,-71.5252634968772,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.3896295883978,-71.52552699131394,-16.3896295883978,-71.5255269913139,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38976591237746,-71.52595135644906,-16.3897659123775,-71.525951356449,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38986199669723,-71.52616221826834,-16.3898619966972,-71.5261622182683,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38992912109506,-71.52649679564453,-16.3899291210951,-71.5264967956445,False, , ,0, , , , , , 
TRACK,1.1.1-3,-16.38996408975408,-71.52650563001716,-16.3899640897541,-71.5265056300171,False, , ,0, , , , , , 
TRACK,1.1.1-4, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-4,-16.38910881119849,-71.52416748507388,-16.3891088111985,-71.5241674850739,False, , ,0, , , , , , 
TRACK,1.1.1-4,-16.38882344053505,-71.52376050895806,-16.388823440535,-71.5237605089581,False, , ,0, , , , , , 
TRACK,1.1.1-4,-16.38840344833783,-71.52408940719189,-16.3884034483378,-71.5240894071919,False, , ,0, , , , , , 
TRACK,1.1.1-4,-16.38862080693305,-71.5243578476037,-16.388620806933,-71.5243578476037,False, , ,0, , , , , , 
TRACK,1.1.1-4,-16.38901835832273,-71.52485581013056,-16.3890183583227,-71.5248558101305,False, , ,0, , , , , , 
TRACK,1.1.1-4,-16.38939276981258,-71.52455437713992,-16.3893927698126,-71.5245543771399,False, , ,0, , , , , , 
TRACK,1.1.1-5, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-5,-16.38989370917808,-71.52653041132874,-16.3898937091781,-71.5265304113287,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38989070551266,-71.52639132323145,-16.3898907055127,-71.5263913232315,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38984329775138,-71.52615880328742,-16.3898432977514,-71.5261588032874,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38973905451613,-71.52594206845208,-16.3897390545161,-71.5259420684521,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38965015477333,-71.52568426823798,-16.3896501547733,-71.525684268238,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38957305387541,-71.52541844437285,-16.3895730538754,-71.5254184443728,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38951791115813,-71.52523980727693,-16.3895179111581,-71.5252398072769,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38951296073076,-71.52506017710591,-16.3895129607308,-71.5250601771059,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38955756391476,-71.52485362251883,-16.3895575639148,-71.5248536225188,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38958151031355,-71.52475926611004,-16.3895815103135,-71.52475926611,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.3894684684748,-71.52458701881272,-16.3894684684748,-71.5245870188127,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38901063762675,-71.52497220667982,-16.3890106376267,-71.5249722066798,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38925192729598,-71.52548695216032,-16.389251927296,-71.5254869521603,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.3893772286191,-71.52579621979955,-16.3893772286191,-71.5257962197995,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38943854039936,-71.52599510709493,-16.3894385403994,-71.5259951070949,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.3896038923931,-71.52638539242909,-16.3896038923931,-71.5263853924291,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38972362570152,-71.5264295045569,-16.3897236257015,-71.5264295045569,False, , ,0, , , , , , 
TRACK,1.1.1-5,-16.38983705091491,-71.52656109042684,-16.3898370509149,-71.5265610904268,False, , ,0, , , , , , 
TRACK,1.1.1-6, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-6,-16.3895133341617,-71.52638853198474,-16.3895133341617,-71.5263885319847,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.3895569290268,-71.52637481202881,-16.3895569290268,-71.5263748120288,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38945684981781,-71.52612496850021,-16.3894568498178,-71.5261249685002,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38933243755715,-71.52582831948034,-16.3893324375571,-71.5258283194803,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38925211561224,-71.52563227745733,-16.3892521156122,-71.5256322774573,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38918746354753,-71.52546470684239,-16.3891874635475,-71.5254647068424,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38914522079282,-71.52536224549267,-16.3891452207928,-71.5253622454927,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38903689961571,-71.52511124758105,-16.3890368996157,-71.525111247581,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38898138119117,-71.52498240160801,-16.3889813811912,-71.524982401608,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38854056570572,-71.52534988839406,-16.3885405657057,-71.525349888394,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38896100084068,-71.52593448822891,-16.3889610008407,-71.5259344882289,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38915453624293,-71.52621263624877,-16.3891545362429,-71.5262126362488,False, , ,0, , , , , , 
TRACK,1.1.1-6,-16.38937227747235,-71.5265005139392,-16.3893722774723,-71.5265005139392,False, , ,0, , , , , , 
TRACK,1.1.1-7, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-7,-16.38883978217535,-71.52477503887621,-16.3888397821753,-71.5247750388762,False, , ,0, , , , , , 
TRACK,1.1.1-7,-16.38862232375515,-71.52450682837392,-16.3886223237551,-71.5245068283739,False, , ,0, , , , , , 
TRACK,1.1.1-7,-16.38835648756566,-71.52412718655475,-16.3883564875657,-71.5241271865547,False, , ,0, , , , , , 
TRACK,1.1.1-7,-16.38789602898908,-71.52451211165619,-16.3878960289891,-71.5245121116562,False, , ,0, , , , , , 
TRACK,1.1.1-7,-16.38814614741196,-71.52482175297256,-16.388146147412,-71.5248217529726,False, , ,0, , , , , , 
TRACK,1.1.1-7,-16.38846708395204,-71.52528313260399,-16.388467083952,-71.525283132604,False, , ,0, , , , , , 
TRACK,1.1.1-7,-16.38894316061146,-71.52492011682489,-16.3889431606115,-71.5249201168249,False, , ,0, , , , , , 
TRACK,1.1.1-8, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-8,-16.388163393373,-71.52386961335348,-16.388163393373,-71.5238696133535,False, , ,0, , , , , , 
TRACK,1.1.1-8,-16.38783703933996,-71.52348495566946,-16.38783703934,-71.5234849556694,False, , ,0, , , , , , 
TRACK,1.1.1-8,-16.38734733507186,-71.52280603604547,-16.3873473350719,-71.5228060360455,False, , ,0, , , , , , 
TRACK,1.1.1-8,-16.38691580965765,-71.52313708139124,-16.3869158096576,-71.5231370813912,False, , ,0, , , , , , 
TRACK,1.1.1-8,-16.3870796576909,-71.52335039081858,-16.3870796576909,-71.5233503908186,False, , ,0, , , , , , 
TRACK,1.1.1-8,-16.38740190464969,-71.52381813361322,-16.3874019046497,-71.5238181336132,False, , ,0, , , , , , 
TRACK,1.1.1-8,-16.387839487213,-71.52443228193303,-16.387839487213,-71.524432281933,False, , ,0, , , , , , 
TRACK,1.1.1-8,-16.38831082458812,-71.52404841609722,-16.3883108245881,-71.5240484160972,False, , ,0, , , , , , 
TRACK,1.1.1-9, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-9,-16.38833683974031,-71.52329847816034,-16.3883368397403,-71.5232984781603,False, , ,0, , , , , , 
TRACK,1.1.1-9,-16.38809225875512,-71.52308135144985,-16.3880922587551,-71.5230813514498,False, , ,0, , , , , , 
TRACK,1.1.1-9,-16.38766713130478,-71.52254073625453,-16.3876671313048,-71.5225407362545,False, , ,0, , , , , , 
TRACK,1.1.1-9,-16.38740118588946,-71.52274305372727,-16.3874011858895,-71.5227430537273,False, , ,0, , , , , , 
TRACK,1.1.1-9,-16.38765673563454,-71.52308153830659,-16.3876567356345,-71.5230815383066,False, , ,0, , , , , , 
TRACK,1.1.1-9,-16.38797498932161,-71.52352664765728,-16.3879749893216,-71.5235266476573,False, , ,0, , , , , , 
TRACK,1.1.1-9,-16.38837286131466,-71.52398704258299,-16.3883728613147,-71.523987042583,False, , ,0, , , , , , 
TRACK,1.1.1-9,-16.38874235988071,-71.52372286672564,-16.3887423598807,-71.5237228667256,False, , ,0, , , , , , 
TRACK,1.1.1-10, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-10,-16.3874905487204,-71.52234667298727,-16.3874905487204,-71.5223466729873,False, , ,0, , , , , , 
TRACK,1.1.1-10,-16.387095961799,-71.52188112312031,-16.387095961799,-71.5218811231203,False, , ,0, , , , , , 
TRACK,1.1.1-10,-16.38637591996196,-71.52241037114439,-16.386375919962,-71.5224103711444,False, , ,0, , , , , , 
TRACK,1.1.1-10,-16.38659180804364,-71.52270564003192,-16.3865918080436,-71.5227056400319,False, , ,0, , , , , , 
TRACK,1.1.1-10,-16.38684441083305,-71.52306398187336,-16.386844410833,-71.5230639818733,False, , ,0, , , , , , 
TRACK,1.1.1-10,-16.38762153919458,-71.52247797319691,-16.3876215391946,-71.5224779731969,False, , ,0, , , , , , 
TRACK,1.1.1-11, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-11,-16.3884672742618,-71.52293230514165,-16.3884672742618,-71.5229323051417,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38818437575585,-71.52248478437774,-16.3881843757558,-71.5224847843777,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38795821450278,-71.52225521195842,-16.3879582145028,-71.5222552119584,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38760430031735,-71.52204523491297,-16.3876043003173,-71.522045234913,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38723624274973,-71.52172743003553,-16.3872362427497,-71.5217274300355,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38712325352503,-71.52183324104479,-16.387123253525,-71.5218332410448,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38737122635088,-71.52212392205631,-16.3873712263509,-71.5221239220563,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38765645813999,-71.52245985310007,-16.38765645814,-71.5224598531001,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38784828720608,-71.52270607835236,-16.3878482872061,-71.5227060783523,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38803245892667,-71.52295494313439,-16.3880324589267,-71.5229549431344,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38824602212457,-71.52314944228218,-16.3882460221246,-71.5231494422822,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38844743714275,-71.52335446659826,-16.3884474371428,-71.5233544665983,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38878235229414,-71.52367215883139,-16.3887823522941,-71.5236721588314,False, , ,0, , , , , , 
TRACK,1.1.1-11,-16.38888446101915,-71.52361263900814,-16.3888844610191,-71.5236126390081,False, , ,0, , , , , , 
TRACK,1.1.1-12, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-12,-16.38813619813971,-71.52222932706036,-16.3881361981397,-71.5222293270603,False, , ,0, , , , , , 
